s3ta1_15_1_4_9_10_0.0_LSTM,_,_,_
all = 9000,neg = 110,zero = 0,pro = 0.012222
_,_,_,_
s3ta1_1_4_9_10_0.0_LSTM,_,_,_
all = 8940,neg = 0,zero = 0,pro = 0
_,_,_,_
s3ta2_1_4_9_10_0.01_LSTM,_,_,_
all = 7761,neg = 76,zero = 0,pro = 0.0097926
_,_,_,_
s3ta3_1_4_9_10_0.05_LSTM,_,_,_
all = 5586,neg = 181,zero = 0,pro = 0.032402
_,_,_,_
s3ta4_1_4_9_10_0.1_LSTM,_,_,_
all = 4013,neg = 257,zero = 0,pro = 0.064042
_,_,_,_
s3tc1_2_4_9_10_0.0_LSTM,_,_,_
all = 8740,neg = 0,zero = 0,pro = 0
_,_,_,_
s3tc2_2_4_9_10_0.01_LSTM,_,_,_
all = 8221,neg = 95,zero = 0,pro = 0.011556
_,_,_,_
s3tc3_2_4_9_10_0.05_LSTM,_,_,_
all = 5487,neg = 153,zero = 0,pro = 0.027884
_,_,_,_
s3tc4_2_4_9_10_0.1_LSTM,_,_,_
all = 4262,neg = 278,zero = 0,pro = 0.065228
_,_,_,_
