s3a1_1_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 1073,pro = 0.11922
_,_,_
s3a2_1_4_9_10_0.01_LSTM,_,_
all = 8349,neg = 1166,pro = 0.13966
_,_,_
s3a3_1_4_9_10_0.05_LSTM,_,_
all = 6104,neg = 844,pro = 0.13827
_,_,_
s3a4_1_4_9_10_0.1_LSTM,_,_
all = 5424,neg = 1028,pro = 0.18953
_,_,_
s3c1_2_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 609,pro = 0.067667
_,_,_
s3c2_2_4_9_10_0.01_LSTM,_,_
all = 8427,neg = 681,pro = 0.080812
_,_,_
s3c3_2_4_9_10_0.05_LSTM,_,_
all = 6580,neg = 580,pro = 0.088146
_,_,_
s3c4_1_4_9_10_0.1_LSTM,_,_
all = 5361,neg = 761,pro = 0.14195
_,_,_
