Data_cc3a1_k1_1_4_9_10_0.0_LSTM,,,
cc3a1_k1_1.txt
cmaes:,30.00,0.86,18.43
simulannealbnd:,30.00,0.92,26.37
MCTS:,30.00,0.95,15.37
random:,30.00,0.24,14.87


cc3a1_k1_2.txt
cmaes:,29.00,1.66,66.17
simulannealbnd:,30.00,1.11,40.57
MCTS:,30.00,1.68,39.90
random:,30.00,0.61,40.50


cc3a1_k1_3.txt
cmaes:,30.00,1.15,44.63
simulannealbnd:,30.00,0.63,22.47
MCTS:,30.00,1.34,30.80
random:,30.00,0.28,20.27


Data_cc3a1_k2_1_4_9_10_0.0_LSTM,,,
cc3a1_k2_1.txt
cmaes:,30.00,1.11,28.47
simulannealbnd:,30.00,0.60,13.63
MCTS:,30.00,1.20,23.50
random:,30.00,0.24,14.67


cc3a1_k2_2.txt
cmaes:,30.00,0.78,27.27
simulannealbnd:,30.00,0.66,22.23
MCTS:,30.00,1.25,26.73
random:,30.00,0.32,21.33


cc3a1_k2_3.txt
cmaes:,30.00,0.93,36.13
simulannealbnd:,30.00,0.59,19.33
MCTS:,30.00,1.12,23.77
random:,30.00,0.19,12.60


Data_cc3a1_k3_1_4_9_10_0.0_LSTM,,,
cc3a1_k3_1.txt
cmaes:,29.00,1.90,64.41
simulannealbnd:,30.00,1.23,46.00
MCTS:,30.00,2.33,58.07
random:,30.00,0.75,50.43


cc3a1_k3_2.txt
cmaes:,29.00,0.75,23.72
simulannealbnd:,30.00,0.94,33.03
MCTS:,30.00,1.11,23.97
random:,30.00,0.40,27.37


cc3a1_k3_3.txt
cmaes:,30.00,1.24,48.30
simulannealbnd:,30.00,0.91,34.07
MCTS:,30.00,1.45,36.63
random:,30.00,0.34,24.23


Data_cc3a1_k4_1_4_9_10_0.0_LSTM,,,
cc3a1_k4_1.txt
cmaes:,29.00,1.95,58.14
simulannealbnd:,30.00,1.09,37.57
MCTS:,30.00,1.43,32.50
random:,30.00,0.38,24.43


cc3a1_k4_2.txt
cmaes:,30.00,1.09,40.53
simulannealbnd:,30.00,0.76,24.43
MCTS:,30.00,1.33,27.23
random:,30.00,0.29,19.83


cc3a1_k4_3.txt
cmaes:,30.00,0.80,26.50
simulannealbnd:,30.00,0.56,16.10
MCTS:,30.00,0.76,12.00
random:,30.00,0.14,9.47


Data_cc3a1_k5_1_4_9_10_0.0_LSTM,,,
cc3a1_k5_1.txt
cmaes:,29.00,2.16,77.76
simulannealbnd:,30.00,3.72,138.77
MCTS:,30.00,3.52,96.13
random:,30.00,1.77,118.93


cc3a1_k5_2.txt
cmaes:,23.00,3.18,138.52
simulannealbnd:,30.00,4.44,171.97
MCTS:,30.00,4.59,142.67
random:,30.00,2.56,191.53


cc3a1_k5_3.txt
cmaes:,30.00,1.05,42.17
simulannealbnd:,30.00,0.83,30.77
MCTS:,30.00,1.14,24.40
random:,30.00,0.25,18.87


Data_cc3a1d10_k1_1_4_9_10_0.0_LSTM,,,
cc3a1d10_k1_1.txt
cmaes:,30.00,0.50,7.17
simulannealbnd:,30.00,0.36,6.57
MCTS:,30.00,0.75,9.63
random:,30.00,0.10,6.17


cc3a1d10_k1_2.txt
cmaes:,30.00,0.29,6.00
simulannealbnd:,30.00,0.23,4.17
MCTS:,30.00,0.58,4.67
random:,30.00,0.06,3.70


cc3a1d10_k1_3.txt
cmaes:,30.00,0.06,1.00
simulannealbnd:,30.00,0.06,1.00
MCTS:,30.00,0.79,11.43
random:,30.00,0.05,3.50


Data_cc3a1d10_k2_1_4_9_10_0.0_LSTM,,,
cc3a1d10_k2_1.txt
cmaes:,30.00,0.22,1.00
simulannealbnd:,30.00,0.09,1.00
MCTS:,30.00,0.73,6.10
random:,30.00,0.06,3.23


cc3a1d10_k2_2.txt
cmaes:,30.00,0.57,15.23
simulannealbnd:,30.00,0.44,10.00
MCTS:,30.00,0.67,8.47
random:,30.00,0.13,9.70


cc3a1d10_k2_3.txt
cmaes:,30.00,0.06,1.00
simulannealbnd:,30.00,0.06,1.00
MCTS:,30.00,0.68,8.77
random:,30.00,0.04,3.13


Data_cc3a1d10_k3_1_4_9_10_0.0_LSTM,,,
