Data_s32a1_k1_1_4_9_10_0.0_LSTM,,,
s32a1_k1_1.txt
cmaes:,30.00,0.37,3.93
simulannealbnd:,30.00,0.19,2.87
MCTS:,30.00,0.31,1.37
random:,30.00,0.02,1.50


s32a1_k1_2.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.34,3.57
random:,30.00,0.02,2.23


s32a1_k1_3.txt
cmaes:,30.00,0.26,7.33
simulannealbnd:,30.00,0.18,3.77
MCTS:,30.00,0.33,3.37
random:,30.00,0.02,2.37


Data_s32a1_k2_1_4_9_10_0.0_LSTM,,,
s32a1_k2_1.txt
cmaes:,30.00,0.42,5.00
simulannealbnd:,30.00,0.23,3.57
MCTS:,30.00,0.37,1.90
random:,30.00,0.03,2.13


s32a1_k2_2.txt
cmaes:,30.00,0.22,5.60
simulannealbnd:,30.00,0.18,3.40
MCTS:,30.00,0.33,1.63
random:,30.00,0.02,1.60


s32a1_k2_3.txt
cmaes:,30.00,0.20,4.07
simulannealbnd:,30.00,0.16,2.80
MCTS:,30.00,0.31,2.00
random:,30.00,0.02,1.90


Data_s32a1_k3_1_4_9_10_0.0_LSTM,,,
s32a1_k3_1.txt
cmaes:,30.00,0.47,6.60
simulannealbnd:,30.00,0.21,3.43
MCTS:,30.00,0.35,1.67
random:,30.00,0.04,2.57


s32a1_k3_2.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.34,2.10
random:,30.00,0.02,1.33


s32a1_k3_3.txt
cmaes:,30.00,0.21,5.07
simulannealbnd:,30.00,0.18,3.07
MCTS:,30.00,0.32,2.40
random:,30.00,0.02,1.60


Data_s32a1_k4_1_4_9_10_0.0_LSTM,,,
s32a1_k4_1.txt
cmaes:,30.00,0.37,4.70
simulannealbnd:,30.00,0.20,3.03
MCTS:,30.00,0.34,1.00
random:,30.00,0.03,2.03


s32a1_k4_2.txt
cmaes:,30.00,0.06,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.35,2.10
random:,30.00,0.02,1.47


s32a1_k4_3.txt
cmaes:,30.00,0.19,4.10
simulannealbnd:,30.00,0.18,3.60
MCTS:,30.00,0.32,2.07
random:,30.00,0.02,2.23


Data_s32a1_k5_1_4_9_10_0.0_LSTM,,,
s32a1_k5_1.txt
cmaes:,30.00,0.50,8.33
simulannealbnd:,30.00,0.23,4.30
MCTS:,30.00,0.39,2.77
random:,30.00,0.03,2.43


s32a1_k5_2.txt
cmaes:,30.00,0.19,3.47
simulannealbnd:,30.00,0.21,4.40
MCTS:,30.00,0.33,1.60
random:,30.00,0.02,1.67


s32a1_k5_3.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.28,1.00
random:,30.00,0.02,1.63


Data_s32a1_k5_1_4_9_10_0.0_LSTM,,,
Data_s32a2_k1_1_4_9_10_0.01_LSTM,,,
s32a2_k1_1.txt
cmaes:,30.00,0.20,1.00
simulannealbnd:,30.00,0.07,1.00
MCTS:,30.00,0.35,2.53
random:,30.00,0.02,1.63


s32a2_k1_2.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.34,3.13
random:,30.00,0.02,2.03


s32a2_k1_3.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.31,2.17
random:,30.00,0.02,2.17


Data_s32a2_k2_1_4_9_10_0.01_LSTM,,,
s32a2_k2_1.txt
cmaes:,30.00,0.20,1.00
simulannealbnd:,30.00,0.07,1.00
MCTS:,30.00,0.37,2.13
random:,30.00,0.03,1.70


s32a2_k2_2.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.35,2.57
random:,30.00,0.03,2.70


s32a2_k2_3.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.34,2.53
random:,30.00,0.02,2.07


Data_s32a2_k3_1_4_9_10_0.01_LSTM,,,
s32a2_k3_1.txt
cmaes:,30.00,0.20,1.00
simulannealbnd:,30.00,0.07,1.00
MCTS:,30.00,0.37,3.23
random:,30.00,0.03,1.83


s32a2_k3_2.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.28,1.00
random:,30.00,0.03,2.67


s32a2_k3_3.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.04,1.00
MCTS:,30.00,0.29,1.97
random:,30.00,0.03,2.73


Data_s32a2_k4_1_4_9_10_0.01_LSTM,,,
s32a2_k4_1.txt
cmaes:,30.00,0.20,1.00
simulannealbnd:,30.00,0.08,1.00
MCTS:,30.00,0.36,1.70
random:,30.00,0.03,1.57


s32a2_k4_2.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.32,1.50
random:,30.00,0.03,2.53


s32a2_k4_3.txt
cmaes:,30.00,0.19,3.57
simulannealbnd:,30.00,0.18,3.23
MCTS:,30.00,0.31,1.43
random:,30.00,0.02,1.87


Data_s32a2_k5_1_4_9_10_0.01_LSTM,,,
s32a2_k5_1.txt
cmaes:,30.00,0.20,1.00
simulannealbnd:,30.00,0.07,1.00
MCTS:,30.00,0.38,2.93
random:,30.00,0.02,1.77


s32a2_k5_2.txt
cmaes:,30.00,0.16,2.80
simulannealbnd:,30.00,0.18,4.00
MCTS:,30.00,0.36,3.53
random:,30.00,0.02,1.87


s32a2_k5_3.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.34,3.43
random:,30.00,0.02,2.13


Data_s32a2_k5_1_4_9_10_0.01_LSTM,,,
Data_s32a3_k1_1_4_9_10_0.05_LSTM,,,
s32a3_k1_1.txt
cmaes:,30.00,0.19,1.00
simulannealbnd:,30.00,0.06,1.00
MCTS:,30.00,0.30,1.00
random:,30.00,0.02,1.03


s32a3_k1_2.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.28,1.00
random:,30.00,0.01,1.30


s32a3_k1_3.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.29,1.43
random:,30.00,0.02,1.63


Data_s32a3_k2_1_4_9_10_0.05_LSTM,,,
