Data_s1a1_k1_1_4_9_10_0.0_LSTM,,,
s1a1_k1_1.txt
cmaes:,30.00,0.49,5.33
simulannealbnd:,30.00,0.30,3.97
MCTS:,30.00,0.42,3.57
random:,30.00,0.03,1.57


s1a1_k1_2.txt
cmaes:,30.00,0.34,8.17
simulannealbnd:,30.00,0.25,4.63
MCTS:,30.00,0.39,3.57
random:,30.00,0.03,2.30


s1a1_k1_3.txt
cmaes:,30.00,0.32,6.53
simulannealbnd:,30.00,0.24,3.80
MCTS:,30.00,0.30,1.00
random:,30.00,0.02,1.70


Data_s1a1_k2_1_4_9_10_0.0_LSTM,,,
s1a1_k2_1.txt
cmaes:,30.00,0.56,7.53
simulannealbnd:,30.00,0.32,4.33
MCTS:,30.00,0.40,1.80
random:,30.00,0.03,2.17


s1a1_k2_2.txt
cmaes:,30.00,0.42,9.07
simulannealbnd:,30.00,0.24,3.97
MCTS:,30.00,0.36,1.00
random:,30.00,0.03,2.23


s1a1_k2_3.txt
cmaes:,30.00,0.38,8.33
simulannealbnd:,30.00,0.23,4.10
MCTS:,30.00,0.39,4.73
random:,30.00,0.04,3.43


Data_s1a1_k3_1_4_9_10_0.0_LSTM,,,
s1a1_k3_1.txt
cmaes:,30.00,0.53,6.37
simulannealbnd:,30.00,0.32,4.40
MCTS:,30.00,0.39,1.00
random:,30.00,0.04,2.60


s1a1_k3_2.txt
cmaes:,30.00,0.35,6.63
simulannealbnd:,30.00,0.23,3.80
MCTS:,30.00,0.42,3.73
random:,30.00,0.04,2.20


s1a1_k3_3.txt
cmaes:,30.00,0.39,8.53
simulannealbnd:,30.00,0.28,5.90
MCTS:,30.00,0.37,3.67
random:,30.00,0.04,3.47


Data_s1a1_k4_1_4_9_10_0.0_LSTM,,,
s1a1_k4_1.txt
cmaes:,30.00,0.67,10.73
simulannealbnd:,30.00,0.33,5.10
MCTS:,30.00,0.45,3.47
random:,30.00,0.04,2.40


s1a1_k4_2.txt
cmaes:,30.00,0.29,4.70
simulannealbnd:,30.00,0.21,3.60
MCTS:,30.00,0.42,1.90
random:,30.00,0.04,2.63


s1a1_k4_3.txt
cmaes:,30.00,0.43,10.47
simulannealbnd:,30.00,0.24,4.60
MCTS:,30.00,0.38,4.63
random:,30.00,0.03,2.73


Data_s1a1_k5_1_4_9_10_0.0_LSTM,,,
s1a1_k5_1.txt
cmaes:,30.00,0.64,9.93
simulannealbnd:,30.00,0.33,4.63
MCTS:,30.00,0.48,4.07
random:,30.00,0.04,2.47


s1a1_k5_2.txt
cmaes:,30.00,0.59,16.23
simulannealbnd:,30.00,0.32,6.17
MCTS:,30.00,0.67,11.23
random:,30.00,0.04,3.00


s1a1_k5_3.txt
cmaes:,30.00,0.41,12.67
simulannealbnd:,30.00,0.22,4.30
MCTS:,30.00,0.47,11.30
random:,30.00,0.02,3.00


Data_s1a2_k1_1_4_9_10_0.01_LSTM,,,
s1a2_k1_1.txt
cmaes:,30.00,0.63,11.47
simulannealbnd:,30.00,0.27,3.90
MCTS:,30.00,0.52,7.03
random:,30.00,0.06,3.97


s1a2_k1_2.txt
cmaes:,30.00,0.59,18.83
simulannealbnd:,30.00,0.31,7.40
MCTS:,30.00,0.68,9.80
random:,30.00,0.06,5.20


s1a2_k1_3.txt
cmaes:,30.00,0.41,12.83
simulannealbnd:,30.00,0.26,6.47
MCTS:,30.00,0.34,3.13
random:,30.00,0.03,3.27


Data_s1a2_k2_1_4_9_10_0.01_LSTM,,,
s1a2_k2_1.txt
cmaes:,30.00,0.82,16.87
simulannealbnd:,30.00,0.35,5.93
MCTS:,30.00,0.48,4.57
random:,30.00,0.06,4.37


s1a2_k2_2.txt
cmaes:,30.00,0.55,18.27
simulannealbnd:,30.00,0.34,6.57
MCTS:,30.00,0.53,5.77
random:,30.00,0.07,5.37


s1a2_k2_3.txt
cmaes:,30.00,0.28,6.80
simulannealbnd:,30.00,0.27,6.47
MCTS:,30.00,0.42,7.27
random:,30.00,0.04,4.20


Data_s1a2_k3_1_4_9_10_0.01_LSTM,,,
s1a2_k3_1.txt
cmaes:,30.00,0.80,17.03
simulannealbnd:,30.00,0.37,6.73
MCTS:,30.00,0.67,11.40
random:,30.00,0.12,7.73


s1a2_k3_2.txt
cmaes:,30.00,0.44,14.13
simulannealbnd:,30.00,0.25,4.67
MCTS:,30.00,0.54,7.07
random:,30.00,0.06,4.40


s1a2_k3_3.txt
cmaes:,30.00,0.33,9.30
simulannealbnd:,30.00,0.28,7.43
MCTS:,30.00,0.40,5.40
random:,30.00,0.04,4.90


Data_s1a2_k4_1_4_9_10_0.01_LSTM,,,
s1a2_k4_1.txt
cmaes:,30.00,0.74,12.87
simulannealbnd:,30.00,0.32,5.03
MCTS:,30.00,0.53,4.73
random:,30.00,0.05,3.37


s1a2_k4_2.txt
cmaes:,30.00,0.32,7.87
simulannealbnd:,30.00,0.23,5.13
MCTS:,30.00,0.59,6.20
random:,30.00,0.08,6.00


s1a2_k4_3.txt
cmaes:,30.00,0.41,12.87
simulannealbnd:,30.00,0.25,6.13
MCTS:,30.00,0.50,9.13
random:,30.00,0.05,5.37


Data_s1a2_k5_1_4_9_10_0.01_LSTM,,,
s1a2_k5_1.txt
cmaes:,30.00,0.99,24.90
simulannealbnd:,30.00,0.31,5.53
MCTS:,30.00,0.71,10.90
random:,30.00,0.07,5.80


s1a2_k5_2.txt
cmaes:,29.00,0.50,16.17
simulannealbnd:,30.00,0.38,11.37
MCTS:,30.00,0.52,12.13
random:,30.00,0.06,7.83


s1a2_k5_3.txt
cmaes:,30.00,0.38,19.83
simulannealbnd:,30.00,0.21,6.57
MCTS:,30.00,0.37,7.73
